state,incidentType,expectedResourceLevel,disasterCategory,durationClass,durationDays,declarationDelayDays,fyDeclared,ihProgramDeclared,paProgramDeclared,hmProgramDeclared,expectedResourceScore,missionAssignmentCount,uniqueAgencyCount,uniqueMaTypeCount,uniquePriorityCount,responseComplexityScore,missionDensity,agencyDensity,stage1_funded_prediction,ml_base_prediction,true_funding,totalObligatedFunding
MT,Biological,Medium,Unknown,Long,1207,71,2020,True,True,True,2,78,8,1,4,624,0.06462303231151616,0.006628003314001657,1,26120620.0,23265542.96,23265542.96
NC,Hurricane,Very High,Weather,Medium,8,33,2020,False,True,True,5,26,6,2,3,156,3.25,0.75,1,624491.2,662959.64,662959.64
NC,Biological,Medium,Unknown,Long,1207,65,2020,True,True,True,2,114,12,2,4,1368,0.09444904722452362,0.009942004971002486,1,76320904.0,89598834.89,89598834.89
NC,Severe Storm,Medium-High,Weather,Long,13,92,2020,False,True,True,3,10,4,1,1,40,0.7692307692307693,0.3076923076923077,1,300242.34,297743.32,297743.32
ND,Flood,High,Weather,Long,17,104,2020,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
ND,Biological,Medium,Unknown,Long,1207,72,2020,True,True,True,2,60,5,1,4,300,0.04971002485501243,0.004142502071251036,1,34977196.0,35215013.14,35215013.14
ND,Flood,High,Weather,Long,24,99,2020,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NE,Biological,Medium,Unknown,Long,1207,75,2020,True,True,True,2,60,10,2,4,600,0.04971002485501243,0.008285004142502071,1,17173600.0,15583760.75,15583760.75
NH,Biological,Medium,Unknown,Long,1207,74,2020,True,True,True,2,87,8,2,4,696,0.07207953603976802,0.006628003314001657,1,35875770.0,57057294.13,57057294.13
NJ,Biological,Medium,Unknown,Long,1207,65,2020,True,True,True,2,333,39,2,4,12987,0.275890637945319,0.03231151615575808,1,159343970.0,147545916.46,147545916.46
NM,Biological,Medium,Unknown,Long,1207,76,2020,True,True,True,2,133,10,2,4,1330,0.1101905550952775,0.008285004142502071,1,61276108.0,57213271.01,57213271.01
NV,Biological,Medium,Unknown,Long,1207,75,2020,True,True,True,2,125,21,2,4,2625,0.1035625517812759,0.01739850869925435,1,63042284.0,53794173.49,53794173.49
NY,Severe Storm,Medium-High,Weather,Short,1,49,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NY,Biological,Medium,Unknown,Long,1207,60,2020,True,True,True,2,366,33,2,4,12078,0.3032311516155758,0.02734051367025684,1,709380000.0,796098441.5899999,796098441.5899999
OH,Biological,Medium,Unknown,Long,1207,71,2020,True,True,True,2,125,11,2,3,1375,0.1035625517812759,0.009113504556752278,1,108090750.0,121561963.28,121561963.28
OK,Biological,Medium,Unknown,Long,1207,76,2020,True,True,True,2,101,12,2,4,1212,0.08367854183927093,0.009942004971002486,1,34442280.0,31904214.16,31904214.16
OR,Biological,Medium,Unknown,Long,1207,68,2020,True,True,True,2,201,31,2,4,6231,0.1665285832642916,0.02568351284175642,1,101167220.0,86565324.17,86565324.17
OR,Flood,High,Weather,Medium,4,58,2020,True,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
OR,Fire,Medium,Unknown,Long,57,8,2020,True,True,True,2,247,35,2,4,8645,4.333333333333333,0.6140350877192983,1,139818480.0,33399013.32,33399013.32
PA,Biological,Medium,Unknown,Long,1207,70,2020,True,True,True,2,289,35,2,4,10115,0.2394366197183098,0.02899751449875725,1,84051690.0,66625103.76000001,66625103.76000001
PR,Earthquake,Very High,Geological,Long,188,19,2020,True,True,True,5,86,19,2,3,1634,0.4574468085106383,0.101063829787234,1,5925225.0,5107370.829999999,5107370.829999999
PR,Biological,Medium,Unknown,Long,1207,67,2020,True,True,True,2,78,10,2,4,780,0.06462303231151616,0.008285004142502071,1,74019470.0,102640409.76,102640409.76
PR,Hurricane,Very High,Weather,Short,2,42,2020,True,False,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
RI,Biological,Medium,Unknown,Long,1207,70,2020,True,True,True,2,223,36,2,4,8028,0.1847555923777962,0.02982601491300746,1,91824536.0,80457579.87,80457579.87
